Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Anderlecht,37,40.0,58,508,168,33.1,12.70,4.20,0.10,0.32,5,6
Antwerp,36,40.0,53,517,182,35.2,12.92,4.55,0.10,0.27,3,6
Beerschot Wilrijk,32,36.0,35,379,121,31.9,10.53,3.36,0.08,0.26,4,8
Cercle Brugge,29,36.0,39,498,161,32.3,13.83,4.47,0.07,0.22,3,4
Charleroi,30,40.0,55,582,189,32.5,14.55,4.73,0.09,0.26,5,6
Club Brugge,25,40.0,86,696,255,36.6,17.40,6.37,0.11,0.31,7,8
Dender,28,40.0,50,424,142,33.5,10.60,3.55,0.11,0.33,3,4
Genk,28,40.0,67,593,204,34.4,14.82,5.10,0.10,0.29,8,12
Gent,38,40.0,44,470,157,33.4,11.75,3.92,0.09,0.26,3,4
Kortrijk,34,36.0,39,401,124,30.9,11.14,3.44,0.09,0.30,2,2
Mechelen,29,40.0,59,545,197,36.1,13.62,4.92,0.10,0.28,3,5
OH Leuven,37,40.0,36,479,116,24.2,11.97,2.90,0.07,0.28,4,4
Sint-Truiden,32,36.0,47,479,160,33.4,13.31,4.44,0.09,0.28,3,4
Standard Liège,39,40.0,27,411,115,28.0,10.27,2.87,0.05,0.17,8,9
Union SG,29,40.0,68,533,194,36.4,13.32,4.85,0.11,0.30,9,12
Westerlo,32,40.0,69,623,216,34.7,15.57,5.40,0.10,0.29,7,9
